Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate (per 100,000)","Age-standardised rate 2001 Australian Standard Population (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)","Age-standardised rate  (WHO) (per 100,000)","Age-standardised rate  (Segi) (per 100,000)",Column L,ICD10 codes,Age group code
Actual,Melanoma of the skin,1997,Males,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1997,Males,20–24,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1997,Males,25–29,4,0.6,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1997,Males,30–34,10,1.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1997,Males,35–39,14,1.9,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1997,Males,40–44,31,4.5,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1997,Males,45–49,40,6.2,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1997,Males,50–54,42,7.6,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1997,Males,55–59,46,10.6,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1997,Males,60–64,60,16.7,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1997,Males,65–69,84,25,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1997,Males,70–74,79,28.2,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1997,Males,75–79,76,40.2,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1997,Males,80–84,65,60.1,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1997,Males,85–89,17,36,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1997,Males,90+,6,36.5,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1997,Males,All ages combined,577,6.3,7.3,9.1,5.3,4.6,NULL,C43,20
Actual,Melanoma of the skin,1997,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1997,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1997,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1997,Persons,15–19,4,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1997,Persons,20–24,5,0.4,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1997,Persons,25–29,12,0.8,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1997,Persons,30–34,24,1.7,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1997,Persons,35–39,26,1.8,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1997,Persons,40–44,50,3.6,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1997,Persons,45–49,61,4.7,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1997,Persons,50–54,61,5.6,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1997,Persons,55–59,68,8,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1997,Persons,60–64,86,11.9,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1997,Persons,65–69,123,17.9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1997,Persons,70–74,118,19.4,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1997,Persons,75–79,109,24.5,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1997,Persons,80–84,102,35.5,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1997,Persons,85–89,39,26.5,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1997,Persons,90+,14,21.5,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1997,Persons,All ages combined,902,4.9,5.1,6.3,3.8,3.4,NULL,C43,20
Actual,Melanoma of the skin,1998,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1998,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1998,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1998,Females,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1998,Females,20–24,0,0,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1998,Females,25–29,5,0.7,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1998,Females,30–34,11,1.6,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1998,Females,35–39,13,1.7,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1998,Females,40–44,16,2.3,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1998,Females,45–49,19,2.9,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1998,Females,50–54,20,3.5,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1998,Females,55–59,21,4.9,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1998,Females,60–64,28,7.6,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1998,Females,65–69,30,8.6,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1998,Females,70–74,40,12.1,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1998,Females,75–79,35,13.1,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1998,Females,80–84,47,26,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1998,Females,85–89,36,34.3,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1998,Females,90+,21,41.3,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1998,Females,All ages combined,343,3.7,3.5,4.4,2.5,2.2,NULL,C43,20
Actual,Melanoma of the skin,1998,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1998,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1998,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1998,Males,15–19,0,0,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1998,Males,20–24,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1998,Males,25–29,11,1.5,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1998,Males,30–34,13,1.9,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1998,Males,35–39,21,2.8,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1998,Males,40–44,22,3.2,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1998,Males,45–49,41,6.3,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1998,Males,50–54,48,8.2,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1998,Males,55–59,38,8.5,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1998,Males,60–64,73,19.7,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1998,Males,65–69,73,21.9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1998,Males,70–74,110,38.4,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1998,Males,75–79,75,37.6,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1998,Males,80–84,57,51.7,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1998,Males,85–89,25,49.7,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1998,Males,90+,15,85.4,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1998,Males,All ages combined,623,6.7,7.7,9.8,5.5,4.9,NULL,C43,20
Actual,Melanoma of the skin,1998,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1998,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1998,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1998,Persons,15–19,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1998,Persons,20–24,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1998,Persons,25–29,16,1.1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1998,Persons,30–34,24,1.7,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1998,Persons,35–39,34,2.3,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1998,Persons,40–44,38,2.7,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1998,Persons,45–49,60,4.6,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1998,Persons,50–54,68,5.9,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1998,Persons,55–59,59,6.7,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1998,Persons,60–64,101,13.6,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1998,Persons,65–69,103,15.1,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1998,Persons,70–74,150,24.4,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1998,Persons,75–79,110,23.6,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1998,Persons,80–84,104,35.7,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1998,Persons,85–89,61,39.3,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1998,Persons,90+,36,52.6,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1998,Persons,All ages combined,966,5.2,5.4,6.8,3.9,3.5,NULL,C43,20
Actual,Melanoma of the skin,1999,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1999,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1999,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1999,Females,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1999,Females,20–24,3,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1999,Females,25–29,5,0.7,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1999,Females,30–34,10,1.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1999,Females,35–39,15,2,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1999,Females,40–44,16,2.3,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1999,Females,45–49,23,3.5,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1999,Females,50–54,26,4.4,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1999,Females,55–59,22,4.9,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1999,Females,60–64,32,8.4,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1999,Females,65–69,38,11,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1999,Females,70–74,49,14.8,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1999,Females,75–79,39,14,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1999,Females,80–84,29,15.9,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1999,Females,85–89,35,31.5,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1999,Females,90+,21,38.9,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1999,Females,All ages combined,364,3.8,3.7,4.5,2.7,2.4,NULL,C43,20
Actual,Melanoma of the skin,1999,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1999,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1999,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1999,Males,15–19,0,0,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1999,Males,20–24,3,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1999,Males,25–29,7,1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1999,Males,30–34,10,1.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1999,Males,35–39,17,2.3,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1999,Males,40–44,27,3.8,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1999,Males,45–49,37,5.6,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1999,Males,50–54,45,7.4,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1999,Males,55–59,69,14.8,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1999,Males,60–64,51,13.3,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1999,Males,65–69,73,22,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1999,Males,70–74,93,31.8,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1999,Males,75–79,83,39.3,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1999,Males,80–84,71,63.4,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1999,Males,85–89,40,74.9,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1999,Males,90+,15,79.1,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1999,Males,All ages combined,641,6.9,7.9,10,5.6,4.8,NULL,C43,20
Actual,Melanoma of the skin,1999,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1999,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1999,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1999,Persons,15–19,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1999,Persons,20–24,6,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1999,Persons,25–29,12,0.8,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1999,Persons,30–34,20,1.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1999,Persons,35–39,32,2.1,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1999,Persons,40–44,43,3,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1999,Persons,45–49,60,4.5,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1999,Persons,50–54,71,5.9,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1999,Persons,55–59,91,9.9,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1999,Persons,60–64,83,10.9,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1999,Persons,65–69,111,16.4,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1999,Persons,70–74,142,22.8,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1999,Persons,75–79,122,24.9,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1999,Persons,80–84,100,34,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1999,Persons,85–89,75,45.6,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1999,Persons,90+,36,49.4,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1999,Persons,All ages combined,1005,5.3,5.5,6.9,4,3.5,NULL,C43,20
Actual,Melanoma of the skin,2000,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,2000,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,2000,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,2000,Females,15–19,0,0,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,2000,Females,20–24,4,0.6,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,2000,Females,25–29,4,0.6,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,2000,Females,30–34,9,1.3,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,2000,Females,35–39,21,2.8,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,2000,Females,40–44,18,2.5,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,2000,Females,45–49,24,3.6,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,2000,Females,50–54,21,3.4,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,2000,Females,55–59,26,5.5,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,2000,Females,60–64,29,7.4,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,2000,Females,65–69,25,7.3,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,2000,Females,70–74,44,13.3,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,2000,Females,75–79,43,15,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,2000,Females,80–84,43,22.8,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,2000,Females,85–89,25,21.6,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,2000,Females,90+,18,31,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,2000,Females,All ages combined,354,3.7,3.5,4.2,2.6,2.3,NULL,C43,20
Actual,Melanoma of the skin,2000,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,2000,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,2000,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,2000,Males,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,2000,Males,20–24,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,2000,Males,25–29,3,0.4,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,2000,Males,30–34,8,1.1,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,2000,Males,35–39,16,2.2,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,2000,Males,40–44,24,3.4,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,2000,Males,45–49,28,4.2,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,2000,Males,50–54,43,6.8,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,2000,Males,55–59,47,9.6,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,2000,Males,60–64,62,15.6,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,2000,Males,65–69,61,18.5,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,2000,Males,70–74,110,37,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,2000,Males,75–79,95,43.5,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,2000,Males,80–84,73,61.8,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,2000,Males,85–89,30,53.2,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,2000,Males,90+,13,63.1,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,2000,Males,All ages combined,617,6.5,7.3,9.4,5.1,4.4,NULL,C43,20
Actual,Melanoma of the skin,2000,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,2000,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,2000,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,2000,Persons,15–19,2,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,2000,Persons,20–24,6,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,2000,Persons,25–29,7,0.5,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,2000,Persons,30–34,17,1.2,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,2000,Persons,35–39,37,2.5,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,2000,Persons,40–44,42,2.9,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,2000,Persons,45–49,52,3.9,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,2000,Persons,50–54,64,5.1,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,2000,Persons,55–59,73,7.6,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,2000,Persons,60–64,91,11.5,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,2000,Persons,65–69,86,12.8,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,2000,Persons,70–74,154,24.5,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,2000,Persons,75–79,138,27.4,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,2000,Persons,80–84,116,37.8,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,2000,Persons,85–89,55,31.9,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,2000,Persons,90+,31,39.4,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,2000,Persons,All ages combined,971,5.1,5.2,6.5,3.7,3.2,NULL,C43,20
Actual,Melanoma of the skin,2001,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,2001,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,2001,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,2001,Females,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,2001,Females,20–24,3,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,2001,Females,25–29,8,1.1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,2001,Females,30–34,10,1.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,2001,Females,35–39,6,0.8,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,2001,Females,40–44,18,2.4,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,2001,Females,45–49,20,2.9,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,2001,Females,50–54,27,4.2,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,2001,Females,55–59,35,7.1,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,2001,Females,60–64,29,7.2,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,2001,Females,65–69,31,9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,2001,Females,70–74,42,12.6,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,2001,Females,75–79,50,17.2,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,2001,Females,80–84,54,26.9,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,2001,Females,85–89,34,28.3,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,2001,Females,90+,22,35.5,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,2001,Females,All ages combined,390,4,3.7,4.6,2.7,2.4,NULL,C43,20
Actual,Melanoma of the skin,2001,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,2001,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,2001,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,2001,Males,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,2001,Males,20–24,7,1.1,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,2001,Males,25–29,7,1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,2001,Males,30–34,7,1,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,2001,Males,35–39,23,3.1,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,2001,Males,40–44,31,4.2,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,2001,Males,45–49,32,4.8,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,2001,Males,50–54,45,6.9,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,2001,Males,55–59,58,11.4,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,2001,Males,60–64,68,16.5,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,2001,Males,65–69,73,21.9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,2001,Males,70–74,112,37.1,NULL,NULL,NULL,NULL,NULL,C43,15
