Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate (per 100,000)","Age-standardised rate 2001 Australian Standard Population (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)","Age-standardised rate  (WHO) (per 100,000)","Age-standardised rate  (Segi) (per 100,000)",Column L,ICD10 codes,Age group code
Actual,Melanoma of the skin,1972,Females,25–29,6,1.2,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1972,Females,30–34,12,2.9,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1972,Females,35–39,10,2.7,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1972,Females,40–44,11,2.9,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1972,Females,45–49,18,4.6,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1972,Females,50–54,21,6,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1972,Females,55–59,17,5.4,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1972,Females,60–64,14,5.1,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1972,Females,65–69,19,8.8,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1972,Females,70–74,11,6.3,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1972,Females,75–79,4,3.1,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1972,Females,80–84,8,10,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1972,Females,85–89,2,5.7,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1972,Females,90+,3,23.5,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1972,Females,All ages combined,163,2.5,3,3.4,2.4,2.2,NULL,C43,20
Actual,Melanoma of the skin,1972,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1972,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1972,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1972,Males,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1972,Males,20–24,5,0.9,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1972,Males,25–29,6,1.1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1972,Males,30–34,9,2,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1972,Males,35–39,11,2.8,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1972,Males,40–44,19,4.6,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1972,Males,45–49,26,6.4,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1972,Males,50–54,22,6.2,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1972,Males,55–59,28,9.1,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1972,Males,60–64,26,10.1,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1972,Males,65–69,15,7.7,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1972,Males,70–74,18,13.6,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1972,Males,75–79,10,12.9,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1972,Males,80–84,7,15.8,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1972,Males,85–89,2,11.8,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1972,Males,90+,0,0,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1972,Males,All ages combined,206,3.1,4.1,4.7,3.3,3,NULL,C43,20
Actual,Melanoma of the skin,1972,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1972,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1972,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1972,Persons,15–19,2,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1972,Persons,20–24,12,1.1,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1972,Persons,25–29,12,1.2,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1972,Persons,30–34,21,2.5,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1972,Persons,35–39,21,2.7,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1972,Persons,40–44,30,3.8,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1972,Persons,45–49,44,5.5,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1972,Persons,50–54,43,6.1,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1972,Persons,55–59,45,7.2,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1972,Persons,60–64,40,7.5,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1972,Persons,65–69,34,8.3,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1972,Persons,70–74,29,9.5,NULL,NULL,NULL,NULL,NULL,C43,15
