Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate 2001 Australian Standard Population  (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)",Column I,ICD-10 codes,Column K,Column L
Incidence,Melanoma of the skin,1985,Males,Western Australia,212,38.7,44.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Males,South Australia,165,27.1,30.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Males,Tasmania,31,16,18.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Males,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Males,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Males,Australia,2224,33.9,39.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,New South Wales,1611,32.3,36.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,Victoria,868,23.6,26.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,Queensland,1087,48.4,54.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,Western Australia,420,35.8,39.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,South Australia,363,28.6,32.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,Tasmania,80,20.4,22.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,Australian Capital Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,Northern Territory,NULL,NULL,NULL,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1985,Persons,Australia,4512,32.1,36,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,New South Wales,787,29.9,33,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,Victoria,452,23,25.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,Queensland,598,50.7,54.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,Western Australia,184,28.4,30.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,South Australia,188,28.4,31.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,Tasmania,54,26.7,28.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,Australian Capital Territory,27,25.9,26.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,Northern Territory,5,10.1,10.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Females,Australia,2305,31.1,33.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,New South Wales,915,38.4,44.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,Victoria,376,21.2,24.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,Queensland,639,58.9,68.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,Western Australia,226,38.8,44.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,South Australia,168,27.4,31.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,Tasmania,33,17.6,19.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,Australian Capital Territory,30,32.8,36.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,Northern Territory,6,13.5,15,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Males,Australia,2404,35.6,41.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,New South Wales,1702,33.5,37.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,Victoria,828,22,24.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,Queensland,1237,53.9,60.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,Western Australia,410,33,36.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,South Australia,356,27.6,31.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,Tasmania,87,22.1,24.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,Australian Capital Territory,57,28.9,30.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,Northern Territory,11,11.9,12.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1986,Persons,Australia,4709,32.8,36.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,New South Wales,1004,37.4,40.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,Victoria,516,25.9,28.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,Queensland,629,51.3,55.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,Western Australia,214,32.1,34.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,South Australia,201,29.3,33,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,Tasmania,68,33.1,35,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,Australian Capital Territory,33,30.6,31.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,Northern Territory,5,9,9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Females,Australia,2685,35.3,38.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,New South Wales,1105,45,51.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,Victoria,481,26.1,29.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,Queensland,738,65.1,75.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,Western Australia,267,44.3,51.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,South Australia,185,30.4,35.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,Tasmania,45,21.9,24.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,Australian Capital Territory,36,37.5,41,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,Northern Territory,8,15.9,17.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Males,Australia,2877,41.2,47.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,New South Wales,2109,40.6,45.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,Victoria,997,25.9,28.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,Queensland,1367,57.2,64.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,Western Australia,481,37.6,41.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,South Australia,386,29.6,34.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,Tasmania,113,27.5,29.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,Australian Capital Territory,69,33.6,35.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,Northern Territory,13,12.8,13.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1987,Persons,Australia,5562,37.8,42.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,New South Wales,1042,37.8,41.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,Victoria,564,27.5,30.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,Queensland,615,48.5,52.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,Western Australia,250,37.7,41.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,South Australia,227,33,36.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,Tasmania,68,32.4,35.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,Australian Capital Territory,35,33.2,34.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,Northern Territory,8,14.8,15.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Females,Australia,2820,36.1,39.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,New South Wales,1226,49.8,57.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,Victoria,562,31.4,35.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,Queensland,753,64.8,74.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,Western Australia,298,48.5,57.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,South Australia,231,37.9,42.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,Tasmania,62,30.7,34.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,Australian Capital Territory,40,42.5,46.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,Northern Territory,10,17.7,19.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Males,Australia,3199,45.7,52.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Persons,New South Wales,2268,42.9,48.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Persons,Victoria,1126,28.9,32.2,NULL,C43,NULL,NULL
